Bug编号,repair_hours,comment_count,comment_chars,files_changed_count,loc_changed,Zr,Zc,Zw,Zf,Zl,D_raw,D_100,难度等级
FLINK-36509,776.2372222222223,2.0,115.0,2.0,53.0,0.040157048800684936,-0.6690472559488748,-0.4193461982239369,-0.30313487502916037,-0.20656132772344318,-0.19954444381281375,22.473719603604845,低
FLINK-36877,715.0825000000001,3.0,132.0,3.0,10.0,-0.015739024121536705,-0.5309737706544181,-0.4128489765656443,-0.23532838982526924,-0.2357704060803127,-0.19487554273898514,22.7990302349456,低
FLINK-37362,350.8825,4.0,3566.0,3.0,51.0,-0.3486217356854811,-0.39290028535996135,0.899589798409466,-0.23532838982526924,-0.2079198895074836,-0.17879982385168183,23.91912298863437,低
FLINK-36128,104.12722222222222,4.0,207.0,15.0,234.0,-0.5741587097639571,-0.39290028535996135,-0.38418476336729446,0.5783494326214244,-0.08361148626778311,-0.17532635356311985,24.161140712858465,低
FLINK-36572,531.083888888889,8.0,582.0,3.0,41.0,-0.1839157308504394,0.15939365581786544,-0.2408636973755454,-0.23532838982526924,-0.21471269842768584,-0.17275229871641395,24.340490712793454,低
FLINK-34905,500.7752777777778,5.0,934.0,5.0,106.0,-0.21161812692513404,-0.2548268000655047,-0.10633299009795691,-0.09971541941748698,-0.17055944044637145,-0.17127600070772725,24.443353341420355,低
FLINK-36150,56.00277777777778,6.0,1254.0,12.0,312.0,-0.6181449688501051,-0.11675331477104796,0.015967652881668976,0.374929977009751,-0.030627576690205847,-0.1681981959800731,24.657802648283837,低
FLINK-36854,283.99055555555555,4.0,320.0,10.0,479.0,-0.4097616913374619,-0.39290028535996135,-0.34099734881511407,0.2393170066019687,0.08281233227717112,-0.1650433384604245,24.877620690105275,低
FLINK-36326,813.6552777777778,3.0,129.0,2.0,153.0,0.07435755345412708,-0.5309737706544181,-0.4139955450935783,-0.30313487502916037,-0.13863323852142104,-0.16133261472865207,25.136169299473032,低
FLINK-36956,383.7761111111111,4.0,51.0,11.0,331.0,-0.3185566218474895,-0.39290028535996135,-0.4438063268198621,0.30712349180585985,-0.017721239741821642,-0.13697062296678644,26.833616899122408,低
